[2024-07-18 01:55:22] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2Fplayer_1.js, Status Code: 404
[2024-07-18 02:02:32] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 02:04:02] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Ffruit-party, Status Code: 404
[2024-07-18 02:04:16] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fsmartsoft%2Fcricketx, Status Code: 404
[2024-07-18 02:08:00] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 02:13:30] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 02:19:00] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 02:19:02] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fproviders%2F7-mojos-slots, Status Code: 404
[2024-07-18 02:24:30] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 02:30:00] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 02:32:12] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fcategory%2Fjogos-da-pg, Status Code: 404
[2024-07-18 02:34:02] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Flive-sweet-bonanza-candyland, Status Code: 404
[2024-07-18 02:49:12] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Ffugaso%2Fmagnify-man, Status Code: 404
[2024-07-18 02:51:51] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 02:57:21] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 03:01:13] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpgsoft%2Ffortune-dragon, Status Code: 404
[2024-07-18 03:02:52] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 03:03:13] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fevolution%2Fimmersive-roulette, Status Code: 404
[2024-07-18 03:08:21] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 03:13:51] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 03:19:21] Failed to fetch file from remote server. URL: https://consultasrs.com/sw.js, Status Code: 404
[2024-07-18 03:19:37] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2Fplayer_1.js, Status Code: 404
[2024-07-18 03:19:38] Failed to fetch file from remote server. URL: https://consultasrs.com/fonts%2FInter-VariableFont_slnt%252Cwght.woff2, Status Code: 404
[2024-07-18 03:19:39] Failed to fetch file from remote server. URL: https://consultasrs.com/favicon.ico, Status Code: 404
[2024-07-18 03:20:44] Failed to fetch file from remote server. URL: https://consultasrs.com/favicon.ico, Status Code: 404
[2024-07-18 03:56:39] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2Fplayer_1.js, Status Code: 404
[2024-07-18 03:56:39] Failed to fetch file from remote server. URL: https://consultasrs.com/fonts%2FInter-VariableFont_slnt%252Cwght.woff2, Status Code: 404
[2024-07-18 03:56:44] Failed to fetch file from remote server. URL: https://consultasrs.com/favicon.ico, Status Code: 404
[2024-07-18 03:59:41] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fproviders%2Fbanana, Status Code: 404
[2024-07-18 06:27:14] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fevolution%2Fcrazy-time, Status Code: 404
[2024-07-18 07:55:07] Failed to fetch file from remote server. URL: https://consultasrs.com/js%2Fplayer_1.js, Status Code: 404
[2024-07-18 08:37:37] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fspribe%2Fkeno, Status Code: 404
[2024-07-18 08:37:38] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpgsoft%2Fcash-mania, Status Code: 404
[2024-07-18 08:38:40] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpgsoft%2Fganesha-gold, Status Code: 404
[2024-07-18 08:39:59] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fproviders%2Fgames-inc, Status Code: 404
[2024-07-18 08:49:00] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpgsoft%2Ffortune-rabbit, Status Code: 404
[2024-07-18 09:00:17] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fproviders%2Fsmartsoft, Status Code: 404
[2024-07-18 09:01:18] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fbanana%2Fbingolar-live-brasil, Status Code: 404
[2024-07-18 09:11:32] Failed to fetch file from remote server. URL: https://consultasrs.com/casino%2Fcategory%2Fcassino-ao-vivo%2Fpopular, Status Code: 404
[2024-07-18 09:25:04] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fspribe%2Fmines, Status Code: 404
[2024-07-18 09:37:20] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fsmartsoft%2Fballoon, Status Code: 404
[2024-07-18 09:50:37] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Flive-mega-roulette, Status Code: 404
[2024-07-18 09:58:33] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fevolution%2Ffootball-studio, Status Code: 404
[2024-07-18 10:08:38] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fterms, Status Code: 404
[2024-07-18 10:08:38] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fevolution%2Flightning-roulette, Status Code: 404
[2024-07-18 10:27:20] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpgsoft%2Flucky-neko, Status Code: 404
[2024-07-18 10:30:07] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Fextra-juicy-megaways, Status Code: 404
[2024-07-18 10:40:26] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2F5-lions-megaways, Status Code: 404
[2024-07-18 10:57:23] Failed to fetch file from remote server. URL: https://consultasrs.com/casino%2Fevolution%2Ffootball-studio, Status Code: 404
[2024-07-18 11:17:31] Failed to fetch file from remote server. URL: https://consultasrs.com/casino%2Fbanana%2Fbanana-mines, Status Code: 404
[2024-07-18 11:33:39] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fvip%2Fmissions, Status Code: 404
[2024-07-18 11:52:57] Failed to fetch file from remote server. URL: https://consultasrs.com/casino%2Fpragmaticplay%2Fbigger-bass-bonanza, Status Code: 404
[2024-07-18 11:57:21] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpgsoft%2Fmidas-fortune, Status Code: 404
[2024-07-18 11:57:22] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fproviders%2Fpgsoft, Status Code: 404
[2024-07-18 12:06:22] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Froulette-2, Status Code: 404
[2024-07-18 12:10:05] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fproviders, Status Code: 404
[2024-07-18 12:16:23] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fuser%2Frefers, Status Code: 404
[2024-07-18 12:26:24] Failed to fetch file from remote server. URL: https://consultasrs.com/casino%2Fpgsoft%2Ffortune-tiger, Status Code: 404
[2024-07-18 12:27:39] Failed to fetch file from remote server. URL: https://consultasrs.com/casino%2Fevolution%2Fxxxtreme-lightning-roulette, Status Code: 404
[2024-07-18 12:35:33] Exception while fetching file: cURL error 28: Proxy CONNECT aborted due to timeout (see https://curl.haxx.se/libcurl/c/libcurl-errors.html) for https://consultasrs.com/casino%2Fpgsoft%2Ffortune-ox
[2024-07-18 13:15:44] Failed to fetch file from remote server. URL: https://consultasrs.com/casino%2Fspribe%2Fmines, Status Code: 404
[2024-07-18 13:15:59] Failed to fetch file from remote server. URL: https://consultasrs.com/casino%2Fsmartsoft%2Fmine-island, Status Code: 404
[2024-07-18 13:31:59] Failed to fetch file from remote server. URL: https://consultasrs.com/casino%2Fpgsoft%2Ffortune-rabbit, Status Code: 404
[2024-07-18 13:32:55] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Fmadame-destiny-megaways, Status Code: 404
[2024-07-18 13:45:44] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fcategory%2Fjogos-crash, Status Code: 404
[2024-07-18 13:45:59] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Fjokers-jewel-dice, Status Code: 404
[2024-07-18 14:00:59] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fevolution%2Fmega-ball, Status Code: 404
[2024-07-18 14:02:57] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpgsoft%2Fdragon-hatch, Status Code: 404
[2024-07-18 14:15:44] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpgsoft%2Fthe-great-icescape, Status Code: 404
[2024-07-18 14:15:59] Failed to fetch file from remote server. URL: https://consultasrs.com/casino%2Fspribe%2Faviator, Status Code: 404
[2024-07-18 14:31:46] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpgsoft%2Flucky-piggy, Status Code: 404
[2024-07-18 14:32:59] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Fdiamond-strike, Status Code: 404
[2024-07-18 14:44:04] Failed to fetch file from remote server. URL: https://consultasrs.com/en%2Fcasino%2Fpragmaticplay%2Flive-powerup-roulette, Status Code: 404
